ID;MARCA;Categoria;ESTUCHE;VARIANTE;TAMAÑO (ML);PROVEEDOR; PRECIO COSTO ; PRECIO MAYORISTA ; PRECIO MINORISTA ;FECHA PRECIO;ACUERDO % OFF;Stock;
001;GANCIA;LICOR;BOTELLA;ORIGINAL;950;DBA; 6.678 ; 7.420 ; 7.680 ;13-abr;10;true;
002;GANCIA;LICOR;BOTELLA;HIBISCUS;750;DBA; 7.853 ; 8.725 ; 9.030 ;13-abr;10;true;
003;APEROL;LICOR;BOTELLA;ORIGINAL;750;DBA; 8.876 ; 9.862 ; 10.207 ;13-abr;10;true;
004;CAMPARI;LICOR;BOTELLA;ORIGINAL;750;DBA; 9.015 ; 10.017 ; 10.368 ;13-abr;10;true;
005;CAMPARI;LICOR;BOTELLA;ORIGINAL;1000;DBA; 11.638 ; 12.931 ; 13.384 ;13-abr;10;true;
006;CYNAR;LICOR;BOTELLA;ORIGINAL;750;DBA; 7.942 ; 8.824 ; 9.133 ;13-abr;10;true;
007;CYNAR;LICOR;BOTELLA;70%;750;DBA; 9.014 ; 10.016 ; 10.367 ;13-abr;10;true;
008;BRANCA;LICOR;BOTELLA;MENTA;750;DBA; 12.082 ; 13.424 ; 13.894 ;13-abr;10;true;
009;BRANCA;LICOR;BOTELLA;ORIGINAL;750;DBA; 14.277 ; 15.863 ; 16.418 ;13-abr;10;true;
010;BRANCA;LICOR;BOTELLA;ORIGINAL;1000;DBA; 19.073 ; 21.192 ; 21.934 ;13-abr;10;true;
011;BUHERO NEGRO;LICOR;BOTELLA;ORIGINAL;700;DBA; 9.817 ; 10.908 ; 11.290 ;13-abr;10;true;
012;HOLDMOSER;LICOR;BOTELLA;ORIGINAL;700;DBA; 23.391 ; 25.990 ; 26.900 ;13-abr;10;true;
013;JAGERMEISTER;LICOR;BOTELLA;ORIGINAL;700;DBA; 26.762 ; 29.736 ; 30.777 ;13-abr;10;true;
014;DAMONJAG 36°;LICOR;BOTELLA;ORIGINAL;1000;DBA; 16.939 ; 18.821 ; 19.480 ;13-abr;10;true;
015;CINZANO;LICOR;BOTELLA;ROSSO;1000;DBA; 6.490 ; 7.211 ; 7.463 ;13-abr;10;true;
016;CINZANO;LICOR;BOTELLA;BIANCO;1000;DBA; 6.452 ; 7.169 ; 7.420 ;13-abr;10;true;
017;MARTINI;LICOR;BOTELLA;DRY;1000;DBA; 9.998 ; 11.109 ; 11.498 ;13-abr;10;true;
018;MARTINI;LICOR;BOTELLA;ROSSO;1000;DBA; 7.164 ; 7.960 ; 8.239 ;13-abr;10;true;
019;MERLE;LICOR;BOTELLA;VERMOUTH;750;MERLE; 10.000 ; 11.500 ; 13.000 ;1-abr;0;true;
020;MERLE;LICOR;BOTELLA;COFFEE;750;MERLE; 10.000 ; 11.500 ; 13.000 ;1-abr;0;true;
021;MERLE;LICOR;BOTELLA;PISTACHIO;750;MERLE; 10.000 ; 11.500 ; 13.000 ;1-abr;0;true;
022;CHIVAS;WHISKY;BOTELLA;ORIGINAL;700;DBA; 50.420 ; 56.022 ; 57.983 ;13-abr;10;false;
023;CHIVAS;WHISKY;BOTELLA;ORIGINAL;1000;DBA; 65.426 ; 72.696 ; 75.240 ;13-abr;10;false;
024;BALLANTINES;WHISKY;BOTELLA;ORIGINAL;1000;DBA; 35.735 ; 39.706 ; 41.096 ;13-abr;10;true;
025;JHONNY WALKER;WHISKY;BOTELLA;RED;750;DBA; 24.983 ; 27.759 ; 28.731 ;13-abr;10;true;
026;JHONNY WALKER;WHISKY;BOTELLA;RED;1000;DBA; 29.695 ; 32.994 ; 34.149 ;13-abr;10;true;
027;JHONNY WALKER;WHISKY;BOTELLA;BLACK;750;DBA; 45.434 ; 50.482 ; 52.249 ;13-abr;10;true;
028;JHONNY WALKER;WHISKY;BOTELLA;BLACK;1000;DBA; 54.056 ; 60.062 ; 62.164 ;13-abr;10;true;
029;JHONNY WALKER;WHISKY;BOTELLA;GOLD;750;DBA; 90.311 ; 100.345 ; 103.857 ;13-abr;10;true;
030;JHONNY WALKER;WHISKY;BOTELLA;GREEN;750;DBA; 158.949 ; 176.610 ; 182.791 ;13-abr;10;true;
031;JACK DANIELS;WHISKY;BOTELLA;ORIGINAL;700;DBA; 38.817 ; 43.130 ; 44.640 ;13-abr;10;true;
032;JACK DANIELS;WHISKY;BOTELLA;HONEY;700;DBA; 38.817 ; 43.130 ; 44.640 ;13-abr;10;true;
033;BEEFEATER;GIN;BOTELLA;ORIGINAL;700;DBA; 22.127 ; 24.585 ; 25.445 ;13-abr;10;true;
034;BEEFEATER;GIN;BOTELLA;ORIGINAL;1000;DBA; 26.285 ; 29.205 ; 30.227 ;13-abr;10;true;
035;BOMBAY;GIN;BOTELLA;ORIGINAL;750;DBA; 31.734 ; 35.260 ; 36.494 ;13-abr;10;true;
036;HENDRICKS;GIN;BOTELLA;ORIGINAL;700;DBA; 39.268 ; 43.631 ; 45.158 ;13-abr;10;true;
037;MARE;GIN;BOTELLA;ORIGINAL;700;DBA; 54.554 ; 60.616 ; 62.738 ;13-abr;10;true;
038;TANQUERAY;GIN;BOTELLA;DARK BERRY;700;DBA; 28.245 ; 31.383 ; 32.481 ;13-abr;10;true;
039;TANQUERAY;GIN;BOTELLA;SEVILLA;700;DBA; 29.171 ; 32.412 ; 33.546 ;13-abr;10;true;
040;GORDONS;GIN;BOTELLA;ORIGINAL;700;DBA; 11.910 ; 13.233 ; 13.696 ;13-abr;10;true;
